Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length
360	-76.52379	-119.8635	43.33969	9.30615e-05	0.122051	0.0555711	0.00641626	0.0303419	0.010844	0.0448583	0.00922996	0.000189209	0.0077185	0.0754406	0.0314521	0.0357462	0.00592078	0.0108476	0.0158533	0.0200745	0.00954404	0.0157084	0.00151229	0.0101082	0.0135657	0.0266364	0.0128783	0.00488368	0.0390948	0.0226351	0.000879097	0.0132898	0.0339352	0.0320259	0.00117081	0.00887244	0.0182586	0.000412989	0.907524	1.07566	0.66945	0.822247	0.940767	1.06296	1.21618	1.49376	0.2901672	0.6902911	0.000124404	0.163157	0.0742869	0.0085772	0.0405607	0.0144962	0.0599662	0.0123385	0.000252933	0.010318	0.100848	0.0420449	0.0477852	0.00791485	0.0145009	0.0211925	0.0268354	0.0127584	0.0209989	0.00202162	0.0135126	0.0181345	0.0356072	0.0172156	0.00652846	0.0522616	0.0302583	0.00117517	0.0177657	0.0453643	0.0428119	0.00156513	0.0118606	0.024408	0.00055208	0.74806
396	-80.52633	-124.0586	43.53228	0.0124499	0.017492	0.00349831	0.0193707	0.0050453	0.0183014	0.00718434	0.0420029	0.0220551	0.0177805	0.002203	0.0115055	0.038538	0.0197122	0.064377	0.0254813	0.00417189	0.0448891	0.0199014	0.0518131	0.0108346	0.0309141	0.0842274	0.0120838	0.01426	0.00233568	0.107143	0.0173544	0.00895845	0.0618104	0.0561057	0.0191169	0.00463591	0.0447449	0.0378178	0.3671	1.51783	0.303755	0.559275	0.834188	1.19877	1.78803	3.29212	0.8615606	0.1978842	0.012967	0.0182186	0.00364363	0.0201753	0.00525489	0.0190617	0.00748279	0.0437477	0.0229713	0.0185191	0.00229451	0.0119835	0.0401389	0.0205311	0.0670513	0.0265398	0.00434519	0.0467538	0.0207281	0.0539655	0.0112846	0.0321983	0.0877263	0.0125858	0.0148524	0.00243271	0.111594	0.0180753	0.0093306	0.0643781	0.0584363	0.0199111	0.00482849	0.0466036	0.0393888	0.9601159
432	-73.21928	-116.4139	43.19461	0.00962017	0.0749671	0.0298068	0.090677	0.0150247	0.0339708	0.0202853	0.00147336	0.00312776	0.0544829	0.0291868	0.00806988	0.0277493	0.00660839	0.0978172	0.0382902	0.0152316	0.0868319	0.0151686	0.0133503	0.0932785	0.0152842	0.0683048	0.0383649	0.0765847	0.0385265	0.0625088	0.0236994	0.0751428	0.0792912	0.0460471	0.0593581	0.0255943	0.0406885	0.00693584	0.524704	1.38888	0.592174	0.774503	0.923373	1.08299	1.29115	1.68869	0.3788548	0.3091007	0.00676833	0.0527436	0.0209708	0.0637964	0.0105707	0.0239003	0.0142719	0.00103659	0.00220056	0.0383318	0.0205346	0.00567762	0.0195232	0.00464937	0.0688199	0.0269393	0.0107163	0.0610912	0.010672	0.0093927	0.0656267	0.0107533	0.0480563	0.0269919	0.0538817	0.0271056	0.0439785	0.0166738	0.0528672	0.0557859	0.0323968	0.0417618	0.018007	0.0286267	0.00487975	1.42135
468	-77.53984	-119.6408	42.10093	0.0648114	0.0409397	0.084226	0.00328386	0.00582912	0.0182592	0.0177515	0.00495723	0.0015937	0.0026054	0.00375657	0.00547647	0.00226027	0.00381396	0.0219185	0.0194877	0.0032434	0.0640598	0.000262058	0.0138477	0.00565326	0.0170371	0.0226199	0.017566	0.00433403	0.00126479	0.0494688	0.016272	0.0164006	0.0129228	0.0208417	0.0263557	0.0366604	0.00343783	0.0673703	1.04012	0.967173	0.15875	0.407555	0.755763	1.32317	2.45365	6.2992	1.330752	0.8798924	0.0925099	0.0584362	0.120222	0.00468728	0.00832031	0.0260627	0.0253379	0.0070758	0.0022748	0.00371887	0.00536201	0.00781695	0.00322624	0.00544393	0.0312859	0.0278161	0.00462953	0.0914371	0.000374055	0.0197657	0.00806929	0.0243183	0.0322869	0.0250732	0.00618627	0.00180533	0.0706103	0.0232262	0.0234097	0.0184456	0.0297489	0.0376194	0.052328	0.00490706	0.0961625	0.7005887
504	-76.31799	-120.2689	43.95089	0.0366372	0.177238	0.16811	0.0208172	0.00718768	0.0517644	0.0105069	0.00422959	0.0228405	0.00988625	0.0106574	0.0201076	0.0462626	0.0186133	0.0774223	0.039167	0.0319901	0.137221	0.000502997	0.020669	0.041765	0.000146441	0.00368653	0.029171	0.0209773	0.00224014	0.0777626	0.0103101	0.0197458	0.00221909	0.0531023	0.02124	0.0509699	0.011443	0.0261328	0.0617667	1.76765	0.344462	0.594652	0.850304	1.17605	1.68166	2.90308	0.7706256	0.02858966	0.0285616	0.138171	0.131055	0.0162286	0.00560337	0.0403545	0.00819097	0.0032973	0.017806	0.00770712	0.00830831	0.0156754	0.0360654	0.0145105	0.0603569	0.0305338	0.0249388	0.106975	0.000392126	0.0161132	0.0325592	0.000114163	0.00287394	0.0227411	0.0163535	0.00174636	0.0606221	0.00803752	0.0153934	0.00172996	0.0413975	0.0165583	0.0397351	0.00892076	0.0203726	1.282743
540	-75.21826	-118.8954	43.67716	0.120254	0.0289849	0.128792	0.014761	0.0656429	0.0863431	0.0714911	0.0018695	0.158176	0.00895646	0.0293828	0.0167072	0.108479	0.0578913	0.00775861	0.0229871	0.000227072	0.0339187	0.0370243	0.00872868	0.210052	0.0102811	0.0254174	0.0104555	0.0261155	0.010853	0.0689919	0.0497148	0.00408655	0.0228732	0.000369998	0.1052	0.0571681	0.00900897	0.00392019	0.214692	1.64253	0.722668	0.853501	0.951781	1.05066	1.17164	1.38376	0.2348563	0.1069431	0.074099	0.0178601	0.0793602	0.00909556	0.0404483	0.0532034	0.0440518	0.00115196	0.0974662	0.00551885	0.0181053	0.0102947	0.0668436	0.0356718	0.00478075	0.0141643	0.000139919	0.0209002	0.0228138	0.0053785	0.129431	0.00633508	0.0156619	0.00644252	0.016092	0.0066875	0.0425119	0.0306336	0.00251808	0.0140942	0.000227988	0.0648229	0.0352262	0.00555121	0.00241557	1.622886
576	-73.0352	-117.2161	44.18089	0.133058	0.110743	0.0473062	0.0157414	0.00931674	0.0375569	0.0497051	0.0780052	0.0232041	0.0692582	0.0522825	0.0177888	0.00212862	0.0312767	0.0202253	0.0398083	0.00683534	0.055403	0.00592322	0.0156207	0.0401192	0.0271971	0.103551	0.0353197	0.0479094	0.0008343	0.203189	0.00511008	0.00386392	0.00710675	0.0247072	0.0275113	0.00917444	0.00731509	0.0353841	0.21817	1.63968	0.970106	0.985307	0.995393	1.00463	1.01491	1.03081	0.02194489	0.1088643	0.0950765	0.0791315	0.0338027	0.011248	0.00665729	0.0268363	0.0355168	0.0557387	0.0165805	0.0494885	0.0373585	0.012711	0.00152101	0.0223488	0.014452	0.0284451	0.0048842	0.0395883	0.00423244	0.0111618	0.0286673	0.0194337	0.0739927	0.0252377	0.0342337	0.00059615	0.145189	0.00365141	0.00276097	0.00507814	0.0176546	0.0196582	0.00655561	0.00522701	0.0252837	1.39948
612	-75.4369	-119.0544	43.61748	0.0355306	0.0433788	0.020397	0.0102066	0.00574629	0.0415496	0.00373194	0.00818154	0.00145748	0.00732531	0.00976062	0.0151391	0.040871	0.00673884	0.011408	0.00426486	0.0156334	0.025013	0.0180062	0.020011	0.0991926	0.00637308	0.00763293	0.00581723	0.0109129	0.017171	0.0171342	0.0108691	0.0555678	0.00163737	0.000452259	0.0126358	0.0698747	0.0129846	0.00356645	0.558912	1.36089	0.410642	0.647866	0.873347	1.14502	1.54353	2.43521	0.6435563	0.3360238	0.0525466	0.0641535	0.0301654	0.0150946	0.00849826	0.0614481	0.00551921	0.0120998	0.00215549	0.0108335	0.0144351	0.0223894	0.0604445	0.00996614	0.0168715	0.00630736	0.0231203	0.036992	0.0266295	0.0295946	0.146697	0.00942521	0.0112884	0.00860317	0.0161392	0.0253943	0.02534	0.0160745	0.0821798	0.00242152	0.000668851	0.0186872	0.103338	0.0192031	0.00527446	0.6761731
648	-74.3704	-117.6417	43.27131	0.147168	0.0149153	0.17189	0.0294781	0.0100901	0.0217491	0.0232299	0.00673204	0.0272042	0.0328084	0.0150569	0.0502253	0.0111741	0.0320353	0.00931685	0.0194017	0.0115624	0.0692451	0.0361904	0.0124861	0.0349738	0.0408441	0.00237946	0.0479655	0.0284657	0.0267444	0.195742	0.0161209	0.00504491	0.00627768	0.0346294	0.00634817	0.0214164	0.0010538	0.0173878	0.288828	1.58187	0.258174	0.51664	0.813804	1.2288	1.93558	3.87336	0.9791242	0.1493893	0.118938	0.0120542	0.138917	0.0238236	0.00815461	0.0175771	0.0187739	0.00544069	0.0219858	0.026515	0.0121687	0.040591	0.00903064	0.0258902	0.00752967	0.01568	0.00934448	0.0559623	0.0292483	0.010091	0.028265	0.0330092	0.00192303	0.0387646	0.0230053	0.0216142	0.158194	0.0130286	0.00407718	0.00507348	0.0279867	0.00513045	0.0173082	0.000851654	0.0140524	1.237352
684	-78.35196	-122.4061	44.05412	0.0649262	0.0530592	0.157249	0.0169658	0.0313523	0.0242961	0.102913	0.00628425	0.0252325	0.0119798	0.0605549	0.0134734	0.00382203	0.0120071	0.0403232	0.016415	0.0483238	0.111176	0.00276264	0.0545619	0.0055273	0.0221384	0.00675852	0.0070422	0.0565192	0.018794	8.46604e-05	0.0336845	0.0141236	0.107606	0.0452879	0.0344133	0.00268984	0.0780691	0.0189615	0.293241	1.57826	0.871262	0.934997	0.97925	1.02119	1.06952	1.14776	0.09964813	0.1520187	0.0495856	0.0405225	0.120095	0.0129572	0.0239444	0.0185555	0.0785968	0.00479942	0.0192706	0.00914925	0.0462471	0.0102899	0.00291897	0.00917006	0.0307957	0.0125365	0.0369059	0.0849072	0.00210989	0.0416701	0.00422132	0.0169076	0.00516163	0.00537828	0.0431649	0.0143534	6.4657e-05	0.0257256	0.0107865	0.0821811	0.0345873	0.0262821	0.00205429	0.059623	0.0144813	1.309378
