Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	tree_length
0	-72.10855	-116.5495	44.44097	0.0641564	0.0981316	0.064988	0.0244045	0.00375374	0.0227173	0.0241113	0.0142332	0.0509269	0.0201935	0.00392791	0.000414969	0.00873174	0.0225308	0.0386298	0.00145628	0.00273957	0.0648096	0.00988639	0.0585245	0.00162789	0.0310345	0.00442935	0.00283706	0.00800264	0.167557	0.0054397	0.00970771	0.018801	0.0780785	0.0216846	0.0411922	0.00391019	0.00551856	0.0171185	0.163432	1.68446	0.627777	0.796873	0.931612	1.07341	1.25491	1.59292	0.3366395	0.07938277	0.0631332	0.0965665	0.0639515	0.0240153	0.00369387	0.022355	0.0237268	0.0140062	0.0501147	0.0198715	0.00386527	0.000408351	0.00859248	0.0221715	0.0380138	0.00143306	0.00269588	0.063776	0.00972871	0.0575911	0.00160193	0.0305395	0.0043587	0.00279182	0.007875	0.164884	0.00535294	0.00955289	0.0185012	0.0768333	0.0213388	0.0405352	0.00384783	0.00543055	0.0168455	1.016207
36	-81.29957	-124.3828	43.08322	0.181583	0.0521773	0.103397	0.0388281	0.00745373	0.00391319	0.0314597	0.0226453	0.0253527	0.0156724	0.00350644	0.000275607	0.0162571	0.0102634	0.0505327	0.0419636	0.041329	0.0850417	0.0507923	0.119947	0.025116	0.0808079	0.0119052	0.0177667	0.00236823	0.105836	0.0152969	0.0181428	0.0209732	0.0116407	0.0044759	0.0340488	0.00740478	0.063978	0.0118125	0.746616	1.20731	0.734571	0.860329	0.95415	1.04805	1.16235	1.36134	0.223044	0.5059719	0.136122	0.0391145	0.0775111	0.0291073	0.00558765	0.0029335	0.0235836	0.0169759	0.0190055	0.0117487	0.00262858	0.000206607	0.0121871	0.00769393	0.0378816	0.0314578	0.0309821	0.0637511	0.0380762	0.0899179	0.0188281	0.0605772	0.00892467	0.0133187	0.00177533	0.0793394	0.0114672	0.0136006	0.0157224	0.00872638	0.00335533	0.0255245	0.00555095	0.0479608	0.00885521	1.333965
72	-86.09031	-130.084	43.99366	0.0705456	0.0144315	0.0731846	0.0164049	0.0384116	0.00373259	0.0767742	0.0395737	0.0298583	0.0336664	0.0234186	0.000955402	0.0229762	0.00150366	0.0504687	0.00421308	0.00477913	0.119313	0.0454027	0.0152986	0.00723146	0.0322758	0.0826783	0.0166999	0.00288953	0.057271	0.0246627	0.00292367	0.0594049	0.00196469	0.00194333	0.0266675	0.0186315	0.00880956	0.0535537	0.32428	1.55286	0.607783	0.784393	0.927036	1.07871	1.27487	1.64533	0.3600435	0.1708588	0.0651679	0.0133313	0.0676057	0.0151543	0.0354835	0.00344805	0.0709217	0.036557	0.0275822	0.0311	0.0216334	0.000882572	0.0212248	0.00138904	0.0466214	0.00389192	0.00441482	0.110218	0.0419417	0.0141324	0.00668021	0.0298154	0.0763758	0.0154269	0.00266926	0.0529053	0.0227826	0.0027008	0.0548765	0.00181492	0.00179519	0.0246346	0.0172112	0.00813801	0.0494713	1.08252
108	-91.79796	-134.8224	43.02441	0.0461889	0.0160747	0.0042115	0.0182409	0.0213041	0.0141357	0.0155219	0.0498929	0.00437177	0.0344535	0.00911953	0.00707229	0.0154657	0.0154002	0.00731152	0.0259561	0.00135963	0.0233076	0.00413676	0.026727	0.00525697	0.0107628	0.0543862	0.00437692	0.00789157	0.0150441	0.0397472	0.0026779	0.0425994	0.00293817	0.0108609	0.0163371	0.0336985	0.0321576	0.00600278	0.847905	1.12444	0.347794	0.59745	0.85155	1.17433	1.67378	2.87526	0.7636653	0.616964	0.0716118	0.0249224	0.00652956	0.0282809	0.0330302	0.0219161	0.0240654	0.0773546	0.00677804	0.053417	0.014139	0.010965	0.0239782	0.0238767	0.0113359	0.0402426	0.00210799	0.0361363	0.00641368	0.0414378	0.00815046	0.0166867	0.084321	0.00678602	0.0122352	0.0233245	0.0616245	0.00415184	0.0660465	0.00455538	0.0168389	0.0253292	0.0522465	0.0498574	0.00930677	0.6449901
144	-82.85769	-125.441	42.58328	0.0176427	0.028574	0.0096639	0.00680293	0.00560764	0.00671054	0.00814889	0.00866454	0.00214888	0.0152665	0.00529822	0.00160642	0.0054696	0.00240012	0.00480932	0.0101375	0.000571768	0.0200769	0.00252919	0.00768853	0.001148	0.00177116	0.0237896	0.000424288	0.00350795	0.0285803	0.0228676	0.00130103	0.0092832	0.000274894	0.00468325	0.00122925	0.00138324	0.0277294	0.0019182	0.751878	1.20301	0.168048	0.419027	0.762336	1.31176	2.38648	5.95069	1.289598	0.5113621	0.0588661	0.0953389	0.0322442	0.0226984	0.0187103	0.0223902	0.0271893	0.0289098	0.00716987	0.0509376	0.0176779	0.00535992	0.0182497	0.00800816	0.0160466	0.0338244	0.00190774	0.0669879	0.00843882	0.0256533	0.00383039	0.0059096	0.0793756	0.00141567	0.0117045	0.09536	0.0762994	0.00434098	0.030974	0.000917202	0.015626	0.00410147	0.00461527	0.0925208	0.0064002	0.2997095
180	-72.75341	-116.6729	43.91953	0.0697678	0.00677344	0.155769	0.0523041	0.0248582	0.0235927	0.0138702	0.0381294	0.0377588	0.015344	0.00901066	0.0107618	0.00641135	0.0369125	0.0299854	0.014415	0.00460548	0.0675845	0.0205707	0.0264478	0.0286513	0.0442147	0.0199492	0.000981971	0.00311924	0.129797	0.0517045	0.0223687	0.0324421	0.0100718	0.0270916	0.0102619	0.0453133	0.0890898	0.00358315	0.446176	1.45313	0.8859	0.942626	0.981735	1.0186	1.06087	1.1288	0.08760054	0.2512185	0.0589497	0.00572316	0.131616	0.044194	0.0210038	0.0199345	0.0117195	0.0322171	0.031904	0.0129648	0.00761349	0.00909307	0.00541722	0.0311889	0.0253359	0.0121798	0.00389136	0.057105	0.0173811	0.0223469	0.0242087	0.0373589	0.0168559	0.000829709	0.00263558	0.109671	0.0436873	0.0189003	0.0274117	0.00851008	0.0228908	0.00867067	0.0382871	0.0752757	0.00302756	1.183513
216	-72.49556	-116.2056	43.70999	0.0942383	0.0290752	0.0270091	0.0535089	0.0520491	0.00126142	0.0306248	0.00300995	0.0514715	0.00337053	0.00695083	0.00637627	0.0259051	0.00254233	0.0185886	0.0103111	0.00214157	0.0160374	0.0268067	0.0520917	0.0473365	0.00521014	0.0160049	0.0182333	0.0114406	0.0777614	0.0447731	0.140311	0.033431	0.00797064	0.0114228	0.0177816	0.0284924	0.0552393	0.00892445	0.531568	1.38326	0.656683	0.814562	0.938015	1.06608	1.22765	1.5228	0.3040895	0.3144157	0.0908143	0.0280187	0.0260277	0.0515647	0.0501579	0.00121559	0.0295121	0.00290059	0.0496013	0.00324806	0.00669828	0.0061446	0.0249639	0.00244996	0.0179132	0.00993643	0.00206376	0.0154547	0.0258327	0.050199	0.0456166	0.00502083	0.0154234	0.0175708	0.0110249	0.074936	0.0431463	0.135213	0.0322163	0.00768103	0.0110078	0.0171355	0.0274572	0.0532323	0.00860019	1.037704
252	-76.17752	-119.6875	43.50996	0.092175	0.00939545	0.026695	0.0541952	0.072466	0.000536363	0.0231953	0.0106744	0.0252904	0.00232432	0.00210152	0.013872	0.0135561	0.00200987	0.020642	0.00392315	0.00744472	0.0150353	0.00350473	0.0669688	0.0105089	0.00259811	0.0372742	0.00783554	0.00219326	0.177256	0.0397376	0.0660187	0.0283467	0.00530817	0.017041	0.0106951	0.0317631	0.0358146	0.0007917	0.383255	1.50461	0.29918	0.555151	0.832264	1.20154	1.80131	3.34247	0.8725337	0.2084077	0.0981433	0.0100038	0.0284235	0.0577043	0.0771582	0.000571092	0.0246972	0.0113656	0.026928	0.00247482	0.00223759	0.0147702	0.0144339	0.00214001	0.0219786	0.00417717	0.00792677	0.0160088	0.00373166	0.071305	0.0111894	0.00276634	0.0396876	0.00834288	0.00233527	0.188733	0.0423105	0.0702934	0.0301821	0.00565188	0.0181444	0.0113876	0.0338198	0.0381335	0.000842962	0.9391881
288	-78.96085	-121.8397	42.87885	0.0212688	0.014793	0.0120233	0.00460263	0.00681495	0.00232933	0.0142748	0.00810113	0.000982646	0.00189632	0.00292082	0.00864567	0.00438574	0.00241515	0.00726925	0.000287942	0.00273709	0.0140801	0.0159003	0.00918558	0.00211409	0.00111272	0.00138458	0.00743689	0.00488037	0.0218871	0.0124324	0.0226508	0.00478282	0.000978709	0.00435411	0.00554333	0.00950829	0.0137481	0.000239199	0.434797	1.46244	0.126499	0.364826	0.730094	1.36969	2.74104	7.90521	1.494961	0.2432533	0.0793708	0.0552042	0.0448684	0.017176	0.025432	0.00869257	0.0532705	0.0302317	0.00366703	0.00707668	0.0108999	0.0322638	0.0163666	0.00901284	0.0271273	0.00107454	0.0102142	0.0525438	0.0593367	0.0342787	0.00788935	0.00415243	0.00516697	0.0277529	0.0182125	0.0816779	0.0463952	0.0845279	0.0178485	0.00365233	0.0162486	0.0206865	0.0354829	0.051305	0.00089264	0.267968
324	-76.97374	-120.7363	43.76258	0.0235913	0.0400605	0.00741323	0.00704377	0.006332	0.00289804	0.0029231	0.00154024	0.00291829	3.60859e-05	0.00452244	0.0177187	0.00495338	0.000660436	0.0238229	0.000464112	0.000369921	0.00501429	0.00813969	0.01648	0.00290611	0.0107804	0.0196467	0.0218567	0.00790344	0.0238887	0.00252147	0.00255661	0.00205805	0.00215407	0.0117843	0.0120408	0.00046399	0.0119087	0.00373304	0.19925	1.65516	0.201303	0.4576	0.78357	1.27621	2.18532	4.96764	1.159039	0.09849357	0.0753463	0.127946	0.0236765	0.0224965	0.0202232	0.00925579	0.00933582	0.00491924	0.00932047	0.000115252	0.0144438	0.0565901	0.0158202	0.00210931	0.0760858	0.00148229	0.00118146	0.0160147	0.0259966	0.0526341	0.00928157	0.0344306	0.0627478	0.0698061	0.0252421	0.076296	0.0080531	0.00816532	0.00657301	0.00687968	0.037637	0.038456	0.0014819	0.0380342	0.0119226	0.3131055
